1,1292052,1994,肖申克的救赎,弗兰克·德拉邦特,"['蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威廉姆·赛德勒']","['剧情', '犯罪']",美国,142
2,1291546,1993,霸王别姬,陈凯歌,"['张国荣', '张丰毅', '巩俐', '葛优']","['剧情', '爱情', '同性']",中国大陆 / 中国香港,171
3,1292720,1994,阿甘正传,罗伯特·泽米吉斯,"['汤姆·汉克斯', '罗宾·怀特', '加里·西尼斯', '麦凯尔泰·威廉逊']","['剧情', '爱情']",美国,142
4,1292722,1997,泰坦尼克号,詹姆斯·卡梅隆,"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '凯西·贝茨']","['剧情', '爱情', '灾难']",美国 / 墨西哥,194
5,1295644,1994,这个杀手不太冷,吕克·贝松,"['让·雷诺', '娜塔莉·波特曼', '加里·奥德曼', '丹尼·爱罗']","['剧情', '动作', '犯罪']",法国 / 美国,110(剧场版)
6,1291561,2001,千与千寻,宫崎骏,"['柊瑠美', '入野自由', '夏木真理', '菅原文太']","['剧情', '动画', '奇幻']",日本,125
7,1292063,1997,美丽人生,罗伯托·贝尼尼,"['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺']","['剧情', '喜剧', '爱情', '战争']",意大利,116(国际版)
8,1295124,1993,辛德勒的名单,史蒂文·斯皮尔伯格,"['连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔']","['剧情', '历史', '战争']",美国,195
9,1889243,2014,星际穿越,克里斯托弗·诺兰,"['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '麦肯吉·弗依']","['剧情', '科幻', '冒险']",美国 / 英国 / 加拿大,169
10,3541415,2010,盗梦空间,克里斯托弗·诺兰,"['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾利奥特·佩吉', '汤姆·哈迪']","['剧情', '科幻', '悬疑', '冒险']",美国 / 英国,148
11,1292064,1998,楚门的世界,彼得·威尔,"['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇']","['剧情', '科幻']",美国,103
12,3011091,2009,忠犬八公的故事,拉斯·霍尔斯道姆,"['理查·基尔', '莎拉·罗默尔', '琼·艾伦', '罗比·萨布莱特']",['剧情'],美国 / 英国,93
13,1292001,1998,海上钢琴师,朱塞佩·托纳多雷,"['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世']","['剧情', '音乐']",意大利,165
14,3793023,2009,三傻大闹宝莱坞,拉吉库马尔·希拉尼,"['阿米尔·汗', '卡琳娜·卡普尔', '马达范', '沙尔曼·乔希']","['剧情', '喜剧', '爱情', '歌舞']",印度,171(印度)
15,1291549,2004,放牛班的春天,克里斯托夫·巴哈蒂,"['让-巴蒂斯特·莫尼耶', '热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德']","['剧情', '音乐']",法国 / 瑞士 / 德国,97
16,2131459,2008,机器人总动员,安德鲁·斯坦顿,"['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特']","['科幻', '动画', '冒险']",美国,98
17,1307914,2002,无间道,刘伟强,"['刘德华', '梁朝伟', '黄秋生', '曾志伟']","['剧情', '惊悚', '犯罪']",中国香港,101
18,25662329,2016,疯狂动物城,拜伦·霍华德,"['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特']","['喜剧', '动画', '冒险']",美国,109(中国大陆)
19,1296141,1957,控方证人,比利·怀尔德,"['泰隆·鲍华', '玛琳·黛德丽', '查尔斯·劳顿', '埃尔莎·兰彻斯特']","['剧情', '悬疑', '犯罪']",美国,116
